,year,安徽省,北京市,福建省,甘肃省,广东省,广西壮族自治区,贵州省,海南省,河北省,河南省,黑龙江省,湖北省,湖南省,吉林省,江苏省,江西省,辽宁省,内蒙古自治区,宁夏回族自治区,青海省,山东省,山西省,陕西省,上海市,四川省,天津市,新疆维吾尔自治区,云南省,浙江省,重庆市,西藏,香港,澳门,台湾
0,2001,41.4704158967659,-3.1655447922457784,181.40541029655537,8.061641486959976,90.97856324167412,66.45393519836746,98.75937169936851,-3.1269149163832943,11.854857164565042,-59.35756835982295,151.1722978041988,-32.094653925877026,67.90155671253892,175.362991029746,8.251929504098703,160.9671614035529,155.78473375536706,-140.0818744365589,8.035325421453713,-29.24694367010636,46.04685278980284,-99.20216285638969,-38.030027567135896,1.7361435355294528,-5.462409954451043,4.696167766362029,35.284218192591005,87.81530820603628,114.08506417448667,0.8459451307663954,,,,
1,2002,94.2492099656118,12.34689513796178,-75.91598596115972,216.79818400356694,-30.872339587346307,-9.395083320188519,29.50261615258637,4.610664783678653,48.61979399862952,129.84972768257782,185.5119302296529,226.93748006526152,75.30190427154982,123.7949429599871,25.354206588535835,-62.86669312998919,14.642507369262622,546.490432368761,31.149401100899116,112.43396164663345,1.2338239787297123,101.28604797587036,196.24179323829807,-4.379656953478183,213.72172716779252,0.11877203840772192,153.69278296495352,119.15996411393417,-46.270552012232635,50.441601011422314,,,,
2,2003,-66.12133519608646,6.605251989095687,95.00637941549824,-43.75283402664483,139.58570657520508,113.11918235956296,-12.712407587242012,20.331661497288838,90.82814807411285,135.45281805172567,88.53955334620484,-62.66066597258617,-31.773894718232043,35.04649360859619,-24.425963290273206,20.27416612838717,35.877501965437176,280.7012850302337,0.9433677819493695,-85.70827048854163,66.340089797883,117.76033564513529,55.922731563410174,-5.03221675397844,-11.844397364797336,1.3672452343640848,210.38353186839495,82.24162967265458,-25.14747396619191,-21.525856478718794,,,,
3,2004,58.47886679513666,17.64397627844878,-17.377173646287645,7.286865173013514,-125.82916132503885,-242.14599112079205,-45.21362913051892,-1.8220718069473254,159.38224310819413,6.273113169676255,98.40375467878853,48.689497757642606,28.60421223483699,-69.84640222498753,16.568016827129174,18.792648889139894,41.233340133460764,-152.472469855642,-1.0055996485389116,-3.544634895448951,108.50406821291392,32.63639615724025,19.607479897131384,7.637032478150434,-91.22932322449583,17.05765355443545,-143.9450852397405,-342.86276185385003,66.6231287242369,8.424069204367688,,,,
4,2005,-80.31188327620116,-6.086424576252931,-142.98637970108015,11.279965269801039,-149.8284872792419,-123.55887000715313,8.837276261412265,-56.00847515461388,-126.15082169887262,-93.49858641954295,5.400142545306191,-132.46213360327974,-83.48553139636338,56.71370408252818,-35.27327359520092,-93.078884378171,48.092892399126164,211.08453032399714,-16.430877474493848,109.47762234855223,-95.75823134264833,-97.13969275639299,-55.42806971125848,-3.7348585451956757,96.64196266329134,-10.070000276727422,139.6504835260735,211.36636302526622,-84.72697564484837,-6.194415253047424,,,,
5,2006,24.144176166263236,-8.237282537977142,-13.35753581766312,23.561662303256337,26.44538342544551,140.94305273447264,33.87763540311935,38.379046090689556,-27.608379585812333,52.42441392053775,-31.460626730078314,46.1258845797085,51.71577806746259,-29.15794756337304,31.38309324481865,6.217595022631788,-58.51616526428514,-143.64959199202167,1.834108662981252,96.99447645570825,-28.45767292184446,50.921191756384076,29.06338292153824,-0.8415378399255177,16.290701589845867,-0.8539420198765454,-143.76804749022384,114.56379983382696,-5.997638281256475,-19.783526281575018,,,,
6,2007,82.86807850176046,-15.193049114870256,95.83017361558235,44.308471279007655,125.80340130018787,133.98890931765777,89.6927640013263,-3.4645912020521337,-94.38531461915257,16.732833353949378,-242.36157862653832,69.3128883105331,16.244955546242426,-100.53966204222388,41.15391633158086,78.28298603512344,-14.694161723003864,-351.26124758189343,9.530757186152309,-119.092192218734,26.01181222134635,-54.680032957693925,2.7535928947257844,5.134128285659151,2.031159530943531,-3.4265453981311835,6.668026476364692,8.95454458859111,82.68363628452543,49.65527855068641,,,,
7,2008,-4.607835027063326,32.45288779614162,-32.390029154037755,31.91369968161204,-56.59040479002177,-5.407968141922652,-34.69784530075848,-10.162490432148346,215.08461860595494,67.08202491152495,-85.3875412811979,34.81430709870747,-36.10057916524338,165.66846784941802,9.181187711857916,-54.818271935443136,70.9300503151127,353.61718392535,-1.6635202912183544,-58.249258432002705,118.63067020636781,117.5431477836817,87.82007268697488,-3.2348931403269923,15.564842041794728,8.19021927941532,-157.84032343143315,-54.888907897494164,-82.50780473607158,-0.8382079178921155,,,,
8,2009,-45.08647259995652,-8.06990795697313,42.69572483851889,-45.60363820249567,75.11515613663703,11.815408012466074,29.22422869935959,28.341360298267528,-65.39636277276402,-91.84490858448679,467.06233955684075,-7.996144966160254,17.03603786422961,-29.224159476500137,-33.44597651637269,39.508026181016625,-34.1566448746972,151.55317546057697,1.903017044888614,110.77123734518057,-132.81252841855232,-31.199379685008903,-0.9996416584567859,1.1178066448468524,116.01581990672157,0.6774407699388133,206.75815220688062,101.55690304581321,79.33564933968684,15.71586645448098,,,,
9,2010,20.771172797568415,-6.64768716150429,-123.72827791359005,25.23672428149221,-52.91646310731502,-14.826619455153718,-138.88537224989997,-37.16289950485186,-34.518536490901596,21.770849771772003,-126.84817296542288,5.977578027232728,-15.772847216314062,-140.25312429489242,-1.6259956146267978,-75.17115702411574,-76.92975676271062,-34.233363585713505,19.5678783537041,136.92428857929937,6.540024229748639,-16.21702061716138,46.91509415079063,-4.732675237265154,-151.4837405403115,-4.629877162882715,202.40625365255733,-382.21652256138805,-119.30247152160223,-20.401545264016118,,,,
