,year,variable,上海市,云南省,内蒙古自治区,北京市,台湾,吉林省,四川省,天津市,宁夏回族自治区,安徽省,山东省,山西省,广东省,广西壮族自治区,新疆维吾尔自治区,江苏省,江西省,河北省,河南省,浙江省,海南省,湖北省,湖南省,澳门,甘肃省,福建省,西藏自治区,贵州省,辽宁省,重庆市,陕西省,青海省,香港,黑龙江省
0,2001,netEmission_gdpTotal(万吨/亿元),2.67403193596638,-1.0643983569284285,15.799469169333586,2.980291690516518,,-3.65489733847272,2.647607933276916,3.2759789761625546,-2.3812604971116977,2.9004614041441057,2.0139871033326027,14.283175077795832,1.0189241096080228,-0.2812719635726992,2.6502781513572673,2.236297968735289,-4.5770541010918695,4.742579650654278,4.509263268507935,0.533328858859252,2.1014556085713445,4.4473637731412206,0.35823649070855373,,4.560860237012833,-3.0397010446384076,,-0.7313611671859761,1.3104749970299294,3.6009106470978525,4.9966681803193,15.202583837039404,,-0.41906348421945644
1,2001,netEmission_perCap(万吨/人),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2001,totalEmission_gdpTotal(万吨/亿元),2.7073544608895954,3.042363908881313,7.625758289098383,2.894920090169001,,4.615576452634692,2.5203825302958665,3.5206870287480005,0.0,4.177767227478062,2.5147663581243473,9.395237335737834,1.774607090206267,2.634218274758022,5.015806321951998,2.323556815285497,2.821421842224836,4.957467685743081,3.4364734423586434,2.1871334578567887,1.5615597375173715,3.620294946824274,2.1302440251572325,,5.27721499029042,1.4143154375928404,,7.983188031095856,4.405691718309286,3.6437030112898743,3.1052104425500593,5.457825342351647,,4.04016479235642
3,2001,totalEmission_perCap(万吨/人),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2002,netEmission_gdpTotal(万吨/亿元),2.6676813085312774,-1.888403296146443,-20.672619796507004,2.2361020421822717,,-0.9713971046199381,-1.8885081950682119,3.4365576104071245,-8.258935491806955,1.3787810290133369,2.5321419410380934,5.453000930150103,1.9511345902676651,2.768889603363562,-5.1413673624207,2.0075581604689905,5.198381380310424,4.285292374255942,1.0332947933708365,2.6768616264808727,-0.717356399060049,-1.3668505956879602,-0.14388678349599965,,-12.405096941419611,3.273460119330723,,5.235158307859198,4.26412428662845,1.1875988771798363,-5.2896652882234365,-27.99593193795199,,-1.5819223335233394
5,2002,netEmission_perCap(万吨/人),0.9564850376416012,-0.10269549980938693,-1.701192006606983,0.7031101298561905,,-0.08546678740059602,-0.10411672858652166,0.7420149228149009,-0.5577332336776923,0.07729677083667269,0.290070396717209,0.39060658026230044,0.341186265985313,0.1471019231790317,-0.41876994176512666,0.2918327477780132,0.3067972737849062,0.38803679325545115,0.06578998512014406,0.4681054227537453,-0.058422006888984454,-0.09715362791506921,-0.009129072609881444,,-0.5982718071219448,0.42852717074797,,0.17273132979730837,0.559376284939462,0.08630848941868796,-0.3283929488340582,-1.8378905790447766,,-0.15219192486618763
6,2002,totalEmission_gdpTotal(万吨/亿元),2.591394353864986,3.2637470706756253,7.483347537298319,2.5222409793308644,,4.299747647438238,2.6346933890087003,3.442079939184288,0.0,4.056528405668633,2.5441493759923994,9.809764865794905,1.7224915797010683,2.3966198550074176,4.389081461871832,2.246594317184093,2.6328965312200756,5.093160967917744,3.18473473986354,2.098744937359099,0.0,4.019980079851501,1.6699438497521402,,5.191729759518429,1.5741845441013531,,7.607838406665433,4.532389533710147,3.4466568123581416,3.419071026320344,5.009781153676795,,3.5184826546448367
7,2002,totalEmission_perCap(万吨/人),0.9291326959386398,0.177489701145101,0.6158199172832952,0.7930824036881645,,0.37830627280240514,0.14525521107532904,0.7432072934444333,0.0,0.22741576796266505,0.291445912585535,0.7026880714835926,0.30120447518114507,0.12732446586977664,0.35749544014786655,0.3265807216131362,0.15538788304289805,0.4611899671997954,0.2027723864394164,0.3670095893026481,0.0,0.2857339713176987,0.10595162591313384,,0.250386237204239,0.20607578046707886,,0.25101667754603835,0.5945678523526101,0.2504850322237339,0.21226273411025703,0.32888455386394294,,0.33850248932640853
8,2003,netEmission_gdpTotal(万吨/亿元),2.454068400670898,1.6097444362134654,-6.076086660347461,2.1830008866296122,,2.8929093238506285,3.238095191808076,2.8860945670002254,12.838586001897482,5.777364980744523,2.2673286340766845,4.74355418844943,0.8031525315180145,-1.3550782364498173,-6.806453620612658,2.363283586942805,2.076632442402187,3.786069225908568,1.147494271520179,2.1971645038668743,-0.5801480683130479,4.999592413427071,3.0153312865098862,,8.381279804921135,-0.03734134313664913,,9.336739142647758,3.8598368263764806,3.470897671030833,0.9897093169504365,27.2001950765099,,1.050063493771138
9,2003,netEmission_perCap(万吨/人),1.0228565039426651,0.09605329568237794,-0.617269411222487,0.7768830042317457,,0.2886057582385055,0.20141421157792525,0.7473320988914818,1.011998701204436,0.3617640032179124,0.3050418862898725,0.4159941711863894,0.16383004695133108,-0.08020865621012871,-0.6817114679432242,0.4030045149925723,0.13966983745296765,0.3936439344528041,0.08292885759630358,0.46422095731523694,-0.05217313450721548,0.40188751904667847,0.21445664202046985,,0.45779486925717,-0.005431742551292261,,0.3510759631119132,0.5576265359887814,0.28882370969318916,0.07052625967007169,2.031294950976873,,0.11303233013097963
